date,transition,asset,pre_cum_ret,post_cum_ret
2018-05-25,0 -> 1,煤炭,-0.0,-0.0813
2018-06-01,1 -> 0,黄金,-0.0248,-0.0534
2018-06-01,1 -> 0,白银,0.02,-0.0638
2018-06-01,1 -> 0,铜,0.0179,-0.1061
2018-06-01,1 -> 0,原油,0.0836,-0.0441
2018-06-01,1 -> 0,煤炭,-0.0827,-0.0077
2018-07-27,0 -> 1,黄金,-0.0534,-0.0144
2018-07-27,0 -> 1,白银,-0.0638,-0.0937
2018-07-27,0 -> 1,铜,-0.1061,-0.05
2018-07-27,0 -> 1,原油,-0.0441,0.0808
2018-07-27,0 -> 1,煤炭,-0.0077,0.1131
2018-08-03,1 -> 0,黄金,-0.0504,-0.0246
2018-08-03,1 -> 0,白银,-0.0572,-0.0749
2018-08-03,1 -> 0,铜,-0.0956,0.0173
2018-08-03,1 -> 0,原油,-0.0212,0.0502
2018-08-03,1 -> 0,煤炭,-0.0459,0.0765
2018-08-17,0 -> 1,黄金,-0.0535,-0.0065
2018-08-17,0 -> 1,白银,-0.0845,-0.0396
2018-08-17,0 -> 1,铜,-0.1244,0.0049
2018-08-17,0 -> 1,原油,-0.0072,0.1641
2018-08-17,0 -> 1,煤炭,-0.0214,0.0291
2018-11-02,1 -> 0,黄金,0.0283,0.0167
2018-11-02,1 -> 0,白银,0.0176,0.0007
2018-11-02,1 -> 0,铜,0.0311,-0.0295
2018-11-02,1 -> 0,原油,-0.0057,-0.3047
2018-11-02,1 -> 0,煤炭,0.129,-0.1494
2018-11-30,0 -> 1,黄金,0.0276,0.0473
2018-11-30,0 -> 1,白银,-0.0293,0.0722
2018-11-30,0 -> 1,铜,-0.0112,-0.0215
2018-11-30,0 -> 1,原油,-0.2899,0.069
2018-11-30,0 -> 1,煤炭,0.0534,-0.0768
2019-05-03,1 -> 0,黄金,-0.012,0.0941
2019-05-03,1 -> 0,白银,-0.0076,0.0176
2019-05-03,1 -> 0,铜,-0.0116,-0.0657
2019-05-03,1 -> 0,原油,0.0998,-0.095
2019-05-03,1 -> 0,煤炭,0.0251,0.0345
2019-05-31,0 -> 1,黄金,-0.0051,0.1184
2019-05-31,0 -> 1,白银,-0.0381,0.1095
2019-05-31,0 -> 1,铜,-0.0798,0.0161
2019-05-31,0 -> 1,原油,0.0043,-0.0876
2019-05-31,0 -> 1,煤炭,0.1519,-0.0
2019-12-06,1 -> 0,黄金,-0.0289,0.0735
2019-12-06,1 -> 0,白银,-0.0325,0.0636
2019-12-06,1 -> 0,铜,0.0376,0.0085
2019-12-06,1 -> 0,原油,0.0489,-0.0078
2019-12-06,1 -> 0,煤炭,-0.0137,-0.011
2020-02-28,0 -> 1,黄金,0.086,0.0269
2020-02-28,0 -> 1,白银,0.0307,-0.1755
2020-02-28,0 -> 1,铜,-0.0761,-0.0966
2020-02-28,0 -> 1,原油,-0.1425,-0.5107
2020-02-28,0 -> 1,煤炭,0.1016,-0.1005
2020-07-24,1 -> 0,黄金,0.0484,0.071
2020-07-24,1 -> 0,白银,0.1142,0.3602
2020-07-24,1 -> 0,铜,0.2128,0.0493
2020-07-24,1 -> 0,原油,0.2442,-0.0708
2020-07-24,1 -> 0,煤炭,0.0526,0.0384
2021-08-27,0 -> 1,黄金,-0.0027,-0.0084
2021-08-27,0 -> 1,白银,-0.1173,0.0106
2021-08-27,0 -> 1,铜,-0.0306,0.1387
2021-08-27,0 -> 1,原油,-0.1333,0.2878
2021-08-27,0 -> 1,煤炭,0.0944,0.6148
2021-09-03,1 -> 0,黄金,0.0089,-0.0059
2021-09-03,1 -> 0,白银,-0.108,0.0285
2021-09-03,1 -> 0,铜,0.0132,0.0384
2021-09-03,1 -> 0,原油,-0.0467,0.1697
2021-09-03,1 -> 0,煤炭,0.2988,0.1395
2021-09-24,0 -> 1,黄金,-0.0278,0.0673
2021-09-24,0 -> 1,白银,-0.1136,0.1331
2021-09-24,0 -> 1,铜,-0.0483,0.0504
2021-09-24,0 -> 1,原油,0.0135,0.0998
2021-09-24,0 -> 1,煤炭,0.273,-0.1833
2021-10-01,1 -> 0,黄金,-0.0372,0.0583
2021-10-01,1 -> 0,白银,-0.1241,0.101
2021-10-01,1 -> 0,铜,-0.0444,0.0273
2021-10-01,1 -> 0,原油,0.0189,0.0186
2021-10-01,1 -> 0,煤炭,0.2085,-0.3373
2021-10-29,0 -> 1,黄金,-0.0059,0.0083
2021-10-29,0 -> 1,白银,0.0285,-0.0783
2021-10-29,0 -> 1,铜,0.0384,-0.0471
2021-10-29,0 -> 1,原油,0.1697,-0.1357
2021-10-29,0 -> 1,煤炭,0.1395,-0.2459
2021-11-05,1 -> 0,黄金,-0.0246,0.0136
2021-11-05,1 -> 0,白银,-0.0313,-0.0472
2021-11-05,1 -> 0,铜,0.0083,0.0071
2021-11-05,1 -> 0,原油,0.1553,-0.1007
2021-11-05,1 -> 0,煤炭,-0.1327,0.026
2021-11-26,0 -> 1,黄金,0.0583,-0.0134
2021-11-26,0 -> 1,白银,0.101,-0.0662
2021-11-26,0 -> 1,铜,0.0273,0.0074
2021-11-26,0 -> 1,原油,0.0186,0.0772
2021-11-26,0 -> 1,煤炭,-0.3373,0.2393
2021-12-03,1 -> 0,黄金,0.0196,0.0204
2021-12-03,1 -> 0,白银,0.0257,0.0121
2021-12-03,1 -> 0,铜,0.0632,0.0103
2021-12-03,1 -> 0,原油,-0.0501,0.1754
2021-12-03,1 -> 0,煤炭,-0.3892,0.0978
2022-01-28,0 -> 1,黄金,0.0204,0.0583
2022-01-28,0 -> 1,白银,0.0121,0.0694
2022-01-28,0 -> 1,铜,0.0103,0.0432
2022-01-28,0 -> 1,原油,0.1754,0.1767
2022-01-28,0 -> 1,煤炭,0.0978,0.3827
